MeetID,MeetPath,Federation,Date,MeetCountry,MeetState,MeetTown,MeetName
7289,usapl/WA-2014-03,USAPL,6/14/2014,USA,WA,,2014 Seattle Summer Classic
7290,usapl/WA-2014-04,USAPL,8/16/2014,USA,WA,,Bull Stewart Battle on the Beach - Alki Classic
7291,usapl/WA-2014-05,USAPL,8/23/2014,USA,WA,,Summer End 2014
7292,usapl/WA-2014-06,USAPL,12/6/2014,USA,WA,,2014 Team Phoinix Holiday Classic
7293,usapl/WA-2014-07,USAPL,10/26/2014,USA,WA,,2014 Columbia City Classic
7294,usapl/WA-2015-01,USAPL,5/2/2015,USA,WA,,TSI & Metaboloic Technologies Pro Deadlift
7295,usapl/WA-2015-02,USAPL,2/28/2015,USA,WA,,Pirates Powerlifting Championship
7296,usapl/WA-2015-03,USAPL,8/22/2015,USA,WA,,2015 Summers End
7297,usapl/WA-2015-04,USAPL,2/21/2015,USA,WA,,2015 Washington State Championships
7298,usapl/WA-2015-06,USAPL,10/24/2015,USA,WA,,2015 7th Annual Columbia City Classic Powerlifting and BP/DL
